ID,Name,Concepticon_ID,Concepticon_Gloss,Proto_ID,Original_Concept
camino,*camino,2252,PATH,138,camino
pariente,*pariente,1644,RELATIVES,139,pariente
hondoprofundo,"*hondo,profundo",1593,DEEP,140,hondo
entrarcentro,"*entrar,centro",,,140,"entrar,centro"
adentroen,"*adentro,en",1460,IN,140,"adentro,en"
envolver,*envolver,1113,WRAP,140,envolver
cascabel,*cascabel,871,RATTLESNAKE,141,cascabel
racimo,*racimo,1966,BUNCH,142,racimo
brujodios,"*brujo,dios",,,143,"brujo,dios"
molertocar,"*moler,tocar",,,144,"moler,tocar"
venado,*venado,1936,DEER,145,venado
excremento,*excremento,675,FAECES (EXCREMENT),146,excremento
llevar,*llevar,700,CARRY,147,llevar
monomanechi,*mono manechi,,,148,mono manechi
absolutiveprefix,*absolutive prefix,,,149,absolutive prefix
si,*sí,1268,YES,150,sí
1p,*1P,1212,WE,151,1P
tigre,*tigre,1250,JAGUAR,152,tigre
raya,*raya,,,153,raya
remedio,*remedio,1372,MEDICINE,154,remedio
puercoespin,*puerco espín,2510,PORCUPINE,155,puerco espín
oreja,*oreja,1247,EAR,156,oreja
carino,*cariño,,,157,cariño
diablozorro,"*diablo,zorro",,,158,"diablo,zorro"
vivo,*vivo,1422,BE ALIVE,159,vivo
sol,*sol,1343,SUN,160,sol
tomarbeber,"*tomar,beber",1401,DRINK,161,"tomar,beber"
esperar,*esperar,1590,WAIT (FOR),162,esperar
hormiga,*hormiga,587,ANT,163,hormiga
consumir,*consumir,2787,CONSUME (DRINK OR EAT),164,consumir
hojapelopluma,"*hoja,pelo,pluma",,,165,"hoja,pelo,pluma"
agarrar,*agarrar,855,SEIZE,166,agarrar
japutamu,*japutamu,,,167,japutamu
collar,*collar,1961,NECKLACE,168,collar
urupecedazo,*urupé (cedazo),,,169,urupé (cedazo)
vender,*vender,1571,SELL,170,vender
desgranar,*desgranar,285,THRESH,171,desgranar
cola,*cola,1220,TAIL,172,cola
llamar,*llamar,1084,CALL,173,llamar
pudrirse,*pudrirse,2907,ROT,174,pudrirse
dejarponer,"*dejar,poner",998,PUT,175,"dejar,poner"
nuevoahora,"*nuevo,ahora",,,176,"nuevo,ahora"
pegar,*pegar,1433,HIT,177,pegar
cunado,*cuñado,2314,BROTHER-IN-LAW,178,cuñado
hermanamenor,*hermana menor,1761,YOUNGER SISTER,178,hermana menor
hermanomenor,*hermano menor,1760,YOUNGER BROTHER,178,hermano menor
bofe,*bofe,,,179,bofe
mandibula,*mandíbula,798,JAW,184,mandíbula
abrir,*abrir,1156,OPEN,186,abrir
tareche,*tareche,,,187,tareche
