ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Alignment,ProtoSet,ConceptInSource
Tacana-paraque-1,,Tacana,paraque,aipuhi,aipuhi,a i p u h i,None,Armentia1887,59,,,,a-ipuhi,3,para qué?
EseEjja-paraque-1,,EseEjja,paraque,apioxi,apioxi,a p i o x i,None,,59,,,,api-oxi,3,por qué?
ProtoTakana-dequien-1,,ProtoTakana,dequien,aʔisa,aʔisa,a ʔ i s a,None,,61,,,,aʔisa(----),3,de quién
Tacana-dequien-1,,Tacana,dequien,aisa,aisa,a i s a,None,,61,,,,a-isa(----),3,de quién
Cavinena-dequien-1,,Cavinena,dequien,aiha-kie,aiha-kie,a i h a + k i e,None,Armentia1887,61,,,,a-iha(+kie),3,cuyo
EseEjja-dequien-1,,EseEjja,dequien,ahea,ahea,a h e a,None,,61,,,,ahe-a(----),3,de quién?
ProtoTakana-quien-2,,ProtoTakana,quien,aʔize,aʔize,a ʔ i z e,None,,62,,,,(-)aʔi(-------ze),3,quién
Tacana-quien-2,,Tacana,quien,aidhe,aidhe,a.i ð e,None,,62,,,,(-)a.iðe(---------),3,quién
Tacana-quien-3,,Tacana,quien,aidhe ni da,aidhe_ni_da,a.i ð e + n i + d a,None,,62,,,,(-)a.iðe(+ni+da---),3,quién?
Tacana-quien-4,,Tacana,quien,aidhe hia,aidhe_hia,a.i ð e + h i a,None,,62,,,,(-)a.iðe(+hia-----),3,quién será?
Tacana-quien-5,,Tacana,quien,aidhe kwana,aidhe_kwana,a.i ð e + kʷ a n a,None,,62,,,,(-)a.iðe(+kʷana----),3,quienes
Tacana-quien-6,,Tacana,quien,aidhe-bia-me,aidhe-bia-me,a.i ð e + b i a + m e,None,Armentia1887,62,,,,(-)a.iðe(+bia+me--),3,algo
Tacana-quien-7,,Tacana,quien,aidhe-ni-nehe,aidhe-ni-nehe,a.i ð e + n i + n e h e,None,Armentia1887,62,,,,(-)a.iðe(+ni+nehe-),3,con quién?
Tacana-quien-8,,Tacana,quien,aidhe-ni-su,aidhe-ni-su,a.i ð e + n i + s u,None,Armentia1887,62,,,,(-)a.iðe(+ni+su---),3,de quién?
Maropa-quien-1,,Maropa,quien,hayse,hayse,h a j s e,None,,62,,,,(h)a-j(-------se),3,who?
EseEjja-quien-2,,EseEjja,quien,ače,ače,a tʃ e,None,,62,,,,(-)atʃe(---------),3,cual
EseEjja-quien-3,,EseEjja,quien,ače-kemo,ače-kemo,a tʃ e + k e m o,None,,62,,,,(-)atʃe(-+kemo---),3,de qué tamaño?
EseEjja-quien-4,,EseEjja,quien,áče-kawiwiso,áče-kawiwiso,!á/a tʃ e + k a w i w i s o,None,,62,,,,(-)!á/atʃe(+kawiwiso),3,cuantos días?
EseEjja-quien-5,,EseEjja,quien,ače-wiso,ače-wiso,a tʃ e + w i s o,None,,62,,,,(-)atʃe(-+--wi-so),3,cuantos?
EseEjja-quien-6,,EseEjja,quien,ače-ho,ače-ho,a tʃ e + h o,None,,62,,,,(-)atʃe(-+ho-----),3,donde está?
EseEjja-quien-7,,EseEjja,quien,ače-xe,ače-xe,a tʃ e + x e,None,,62,,,,(-)atʃe(-+xe-----),3,de donde?
EseEjja-quien-8,,EseEjja,quien,ače-šono,ače-šono,a tʃ e + ʃ o n o,None,,62,,,,(-)atʃe(-+ʃono---),3,cuándo?
Huarayo-quien-2,,Huarayo,quien,ače,ače,a tʃ e,None,,62,,,,(-)atʃe(---------),3,cuál?
Huarayo-quien-3,,Huarayo,quien,ači-sono,ači-sono,a tʃ i + s o n o,None,,719,,,,(-)atʃi(-+sono----),3,cuándo
Huarayo-quien-4,,Huarayo,quien,ači-bisó,ači-bisó,a tʃ i + b i s ó/o,None,,720,,,,(-)atʃi(-+bi----só/o),3,cuánto(s)
Huarayo-quien-5,,Huarayo,quien,ače-he,ače-he,a tʃ e + h e,None,,62,,,,(-)atʃe(-+he-----),3,por donde
ProtoTakana-interrogacion-1,,ProtoTakana,interrogacion,aʔi...,aʔi...,a ʔ i,None,,56,,,,aʔi(------------),3,interrogación
Tacana-interrogacion-1,,Tacana,interrogacion,aikisa-kwana,aikisa-kwana,a i k i s a + kʷ a n a,None,,56,,,,a-i(--ki-sa+kʷana),3,cosas
Tacana-interrogacion-2,,Tacana,interrogacion,aima,aima,a i m a,None,Armentia1887,56,,,,a-i(-----ma-----),3,no
Tacana-interrogacion-3,,Tacana,interrogacion,aimawe,aimawe,a i m a β e,None,,56,,,,a-i(-----ma-βe--),3,"no,no hay"
Araona-interrogacion-1,,Araona,interrogacion,aydeni-ñae,aydeni-ñae,a j d e n i + ɲ a e,None,,56,,,,a-j(deni+ɲae----),3,avec qui?
Cavinena-interrogacion-1,,Cavinena,interrogacion,aiho,aiho,a i h o,None,,56,,,,a-i(ho----------),3,donde
Cavinena-interrogacion-2,,Cavinena,interrogacion,aipo,aipo,a i p o,None,,56,,,,a-i(po----------),3,como se dice
Cavinena-interrogacion-3,,Cavinena,interrogacion,airike,airike,a i r i k e,None,,56,,,,a-i(rike--------),3,qué es esto
Cavinena-interrogacion-4,,Cavinena,interrogacion,airiya,airiya,a i r i j a,None,,56,,,,a-i(rija--------),3,qué es esto
Cavinena-interrogacion-5,,Cavinena,interrogacion,aitome,aitome,a i t o m e,None,,56,,,,a-i(to---me-----),3,qué es eso
Cavinena-interrogacion-6,,Cavinena,interrogacion,aitibu,aitibu,a i t i b u,None,Armentia1887,56,,,,a-i(tibu--------),3,que
Cavinena-interrogacion-7,,Cavinena,interrogacion,aiha-ma,aiha-ma,a i h a + m a,None,,56,,,,a-i(-ha-+ma-----),3,no hay
Cavinena-interrogacion-8,,Cavinena,interrogacion,aiha-ma-taʔa,aiha-ma-taʔa,a i h a + m a + t a ʔ a,None,,56,,,,a-i(-ha-+ma+taʔa),3,impossible
Cavinena-interrogacion-9,,Cavinena,interrogacion,aikiraaya,aikiraaya,a i k i r a a j a,None,,56,,,,a-i(-ki--ra--aja),3,así lo hace
Cavinena-interrogacion-10,,Cavinena,interrogacion,aikiraišo,aikiraišo,a i k i r a i ʃ o,None,,56,,,,a-i(-ki--ra--iʃo),3,para hacer
Cavinena-interrogacion-11,,Cavinena,interrogacion,aida,aida,a i d a,None,Armentia1887,56,,,,a-i(da----------),3,abundancia
Cavinena-interrogacion-12,,Cavinena,interrogacion,aidahu,aidahu,a i d a h u,None,Armentia1887,56,,,,a-i(dahu--------),3,abundar
EseEjja-interrogacion-1,,EseEjja,interrogacion,ačakwa,ačakwa,a tʃ a kʷ a,*aʔiza...?,,650,,,,a--(tʃakʷa--------),3,a donde?
EseEjja-interrogacion-2,,EseEjja,interrogacion,ačaxa,ačaxa,a tʃ a x a,None,,651,,,,a--(tʃaxa--------),3,cómo?
EseEjja-interrogacion-3,,EseEjja,interrogacion,ačaxa akawi,ačaxa_akawi,a tʃ a x a + a k a w i,None,,652,,,,a--(tʃaxa+-a-kawi),3,cómo se hace?
EseEjja-interrogacion-4,,EseEjja,interrogacion,ačaxa mia,ačaxa_mia,a tʃ a x a + m i a,None,,653,,,,a--(tʃaxa+mi--a--),3,cómo está Usted?
EseEjja-interrogacion-5,,EseEjja,interrogacion,aekwe,aekwe,a e kʷ e,None,,654,,,,a-e(-kʷe---------),3,dónde está?
EseEjja-interrogacion-6,,EseEjja,interrogacion,aʔeso,aʔeso,a ʔ e s o,None,,56,,,,aʔe(-so---------),3,espera!
Huarayo-interrogacion-1,,Huarayo,interrogacion,ačaha,ačaha,a tʃ a h a,None,,745,,,,a--(tʃaha--------),3,cuánto(s)
Huarayo-interrogacion-2,,Huarayo,interrogacion,ačakwa,ačakwa,a tʃ a kʷ a,None,,744,,,,a--(tʃakʷa--------),3,donde
Huarayo-interrogacion-3,,Huarayo,interrogacion,ahia,ahia,a h i a,None,,56,,,,ahi(-a----------),3,que es esto?
ProtoTakana-barbasco-1,,ProtoTakana,barbasco,ac̣a,ac̣a,a ʈʂ a,None,,29,,,,aʈʂa(--------),4,barbasco
Tacana-barbasco-1,,Tacana,barbasco,aca,aca,a ʈʂ a,None,,29,,,,aʈʂa(--------),4,barbasco (bejuco)
Cavinena-barbasco-1,,Cavinena,barbasco,aca,aca,a ts a,None,,29,,,,atsa(--------),4,barbasco
Cavinena-barbasco-2,,Cavinena,barbasco,aca-ka-madi,aca-ka-madi,a ts a + k a + m a d i,None,,29,,,,atsa(+ka+madi),4,resina de paquió
ProtoTakana-pampa-1,,ProtoTakana,pampa,ac̣i,ac̣i,a ʈʂ i,None,,30,,,,(--)aʈʂi,5,pampa
Tacana-pampa-1,,Tacana,pampa,y-aci,y-aci,j + a ʈʂ i,Concept 'pajonal' taken from Armentia,,30,,,,(j+)aʈʂi,5,"pampa,pajonal"
Maropa-pampa-1,,Maropa,pampa,eáxi,eáxi,e !á/a x i,cognate?,,30,,,,(e-)á/axi,5,grass
Reyesano-pampa-1,,Reyesano,pampa,y-aci,y-aci,j + a ts i,None,,30,,,,(j+)atsi,5,grassland
Cavinena-pampa-1,,Cavinena,pampa,y-ači,y-ači,j + a tʃ i,Concept 'paja' taken from Armentia,,30,,,,(j+)atʃi,5,"pampa,paja"
ProtoTakana-teta-1,,ProtoTakana,teta,ac̣u,ac̣u,a ʈʂ u,None,,31,,,,(--)aʈʂu(---),6,teta
Tacana-teta-1,,Tacana,teta,acu,acu,a ʈʂ u,None,,31,,,,(--)aʈʂu(---),6,teta
Tacana-teta-2,,Tacana,teta,acu-pa,acu-pa,a ʈʂ u + p a,None,,31,,,,(--)aʈʂu(+pa),6,tetilla
Tacana-teta-3,,Tacana,teta,e-acu-du,e-acu-du,e + a ʈʂ u + d u,None,Armentia1887,31,,,,(e+)aʈʂu(+du),6,testes
Tacana-teta-4,,Tacana,teta,acu-na,acu-na,a ʈʂ u + n a,palabra arcaica,,31,,,,(--)aʈʂu(+na),6,leche
Reyesano-teta-1,,Reyesano,teta,aco,aco,a ts o,None,,31,,,,(--)atso(---),6,breast
Maropa-teta-1,,Maropa,teta,atru,atru,a ʈɽ u,None,Heath1883,31,,,,(--)aʈɽu(---),6,breasts
Cavinena-teta-1,,Cavinena,teta,aco-na,aco-na,a ts o + n a,None,,31,,,,(--)atso(+na),6,"leche,ubre"
Cavinena-teta-2,,Cavinena,teta,aco,aco,a ts o,None,Armentia1887,31,,,,(--)atso(---),6,leche
ProtoTakana-chontaloro-1,,ProtoTakana,chontaloro,adune,adune,a d u n e,None,,32,,,,adune,7,chontaloro
Tacana-chontaloro-1,,Tacana,chontaloro,adune,adune,a d u n e,None,,32,,,,adune,7,chontaloro (palmera)
Cavinena-chontaloro-1,,Cavinena,chontaloro,adone,adone,a d o n e,None,,32,,,,adone,7,chontaloro
